number,name,status
1,PEP Purpose and Guidelines,Active
272,API for Block Encryption Algorithms v1.0,Final
257,Docstring Conventions,Active
287,reStructuredText Docstring Format,Active
430,Migrating to Python 3 as the default online documentation,Final
399,Pure Python/C Accelerator Module Compatibility Requirements,Final
394,The “python” Command on Unix-Like Systems,Active
291,Backward Compatibility for the Python 2 Standard Library,Final
248,Python Database API Specification v1.0,Final
290,Code Migration and Modernization,Active
247,API for Cryptographic Hash Functions,Final
20,The Zen of Python,Active
101,Doing Python Releases 101,Active
249,Python Database API Specification v2.0,Final
333,Python Web Server Gateway Interface v1.0,Final
676,PEP Infrastructure Process,Active
8015,Organization of the Python community,Rejected
8014,The Commons Governance Model,Rejected
8010,The Technical Leader Governance Model,Rejected
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3146,Merging Unladen Swallow into CPython,Withdrawn
8013,The External Council Governance Model,Rejected
3142,Add a “while” clause to generator expressions,Rejected
3153,Asynchronous IO support,Superseded
8012,The Community Governance Model,Rejected
3139,Cleaning out sys and the “interpreter” module,Rejected
3136,Labeled break and continue,Rejected
3140,"str(container) should call str(item), not repr(item)",Rejected
3133,Introducing Roles,Rejected
3152,Cofunctions,Rejected
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
3130,Access to Current Module/Class/Function,Rejected
3122,Delineation of the main module,Rejected
3128,BList: A Faster List-like Type,Rejected
3125,Remove Backslash Continuation,Rejected
3126,Remove Implicit String Concatenation,Rejected
3117,Postfix type declarations,Rejected
690,Lazy Imports,Rejected
666,Reject Foolish Indentation,Rejected
3001,Procedure for reviewing and improving standard library modules,Withdrawn
665,A file format to list Python dependencies for reproducibility of an application,Rejected
3103,A Switch/Case Statement,Rejected
662,Editable installs via virtual wheels,Rejected
651,Robust Stack Overflow Handling,Rejected
754,IEEE 754 Floating Point Special Values,Rejected
663,"Standardizing Enum str(), repr(), and format() behaviors",Rejected
650,Specifying Installer Requirements for Python Projects,Withdrawn
641,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
645,Allow writing optional types as ,Withdrawn
648,Extensible customizations of the interpreter at startup,Rejected
637,Support for indexing with keyword arguments,Rejected
677,Callable Type Syntax,Rejected
631,Dependency specification in pyproject.toml based on PEP 508,Superseded
620,Hide implementation details from the C API,Withdrawn
640,Unused variable syntax,Rejected
622,Structural Pattern Matching,Superseded
606,Python Compatibility Version,Rejected
633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
608,Coordinated Python release,Rejected
599,The manylinux2014 Platform Tag,Superseded
601,Forbid return/break/continue breaking out of finally,Rejected
605,A rolling feature release stream for CPython,Rejected
598,Introducing incremental feature releases,Withdrawn
583,A Concurrency Memory Model for Python,Withdrawn
580,The C call protocol,Rejected
595,Improving bugs.python.org,Withdrawn
577,Augmented Assignment Expressions,Withdrawn
575,Unifying function/method classes,Withdrawn
571,The manylinux2010 Platform Tag,Superseded
555,Context-local variables (contextvars),Withdrawn
576,Rationalize Built-in function classes,Withdrawn
551,Security transparency in the Python runtime,Withdrawn
550,Execution Context,Withdrawn
559,Built-in noop(),Rejected
548,More Flexible Loop Control,Rejected
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Rejected
531,Existence checking operators,Withdrawn
543,A Unified TLS API for Python,Withdrawn
549,Instance Descriptors,Rejected
516,Build system abstraction for pip/conda etc,Rejected
522,Allow BlockingIOError in security sensitive APIs,Rejected
521,Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
510,Specialize functions with guards,Rejected
513,A Platform Tag for Portable Linux Built Distributions,Superseded
542,Dot Notation Assignment In Function Header,Rejected
511,API for code transformers,Rejected
509,Add a private version to dict,Superseded
507,Migrate CPython to Git and GitLab,Rejected
611,The one million limit,Withdrawn
502,String Interpolation - Extended Discussion,Rejected
504,Using the System RNG by default,Withdrawn
500,A protocol for delegating datetime methods to their tzinfo implementations,Rejected
497,A standard mechanism for backward compatibility,Rejected
490,Chain exceptions at C level,Rejected
469,Migration of dict iteration code to Python 3,Withdrawn
472,Support for indexing with keyword arguments,Rejected
474,Creating forge.python.org,Withdrawn
473,Adding structured data to built-in exceptions,Rejected
462,Core development workflow automation for CPython,Withdrawn
463,Exception-catching expressions,Rejected
460,Add binary interpolation and formatting,Withdrawn
481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn
496,Environment Markers,Rejected
455,Adding a key-transforming dictionary to collections,Rejected
439,Inclusion of implicit pip bootstrap in Python installation,Rejected
437,"A DSL for specifying signatures, annotations and argument converters",Rejected
432,Restructuring the CPython startup sequence,Withdrawn
431,Time zone support improvements,Superseded
426,Metadata for Python Software Packages 2.0,Withdrawn
433,Easier suppression of file descriptor inheritance,Superseded
422,Simpler customisation of class creation,Withdrawn
459,Standard Metadata Extensions for Python Software Packages,Withdrawn
413,Faster evolution of the Python Standard Library,Withdrawn
411,Provisional packages in the Python standard library,Superseded
416,Add a frozendict builtin type,Rejected
410,Use decimal.Decimal type for timestamps,Rejected
408,Standard library __preview__ package,Rejected
406,Improved Encapsulation of Import State,Withdrawn
402,Simplified Package Layout and Partitioning,Rejected
390,Static metadata for Distutils,Rejected
382,Namespace Packages,Rejected
396,Module Version Numbers,Rejected
381,Mirroring infrastructure for PyPI,Withdrawn
379,Adding an Assignment Expression,Withdrawn
377,Allow __enter__() methods to skip the statement body,Rejected
401,BDFL Retirement,April Fool!
364,Transitioning to the Py3K Standard Library,Withdrawn
395,Qualified Names for Modules,Withdrawn
367,New Super,Superseded
369,Post import hooks,Withdrawn
365,Adding the pkg_resources module,Rejected
363,Syntax For Dynamic Attribute Access,Rejected
359,The “make” Statement,Withdrawn
355,Path - Object oriented filesystem paths,Rejected
349,Allow str() to return unicode strings,Rejected
354,Enumerations in Python,Superseded
351,The freeze protocol,Rejected
348,Exception Reorganization for Python 3.0,Rejected
350,Codetags,Rejected
346,User Defined (”,Withdrawn
345,Metadata for Python Software Packages 1.2,Superseded
339,Design of the CPython Compiler,Withdrawn
344,Exception Chaining and Embedded Tracebacks,Superseded
340,Anonymous Block Statements,Rejected
386,Changing the version comparison module in Distutils,Superseded
336,Make None Callable,Rejected
335,Overloadable Boolean Operators,Rejected
334,Simple Coroutines via SuspendIteration,Withdrawn
332,Byte vectors and String/Unicode Unification,Rejected
330,Python Bytecode Verification,Rejected
329,Treating Builtins as Constants in the Standard Library,Rejected
326,A Case for Top and Bottom Values,Rejected
325,Resource-Release Support for Generators,Rejected
317,Eliminate Implicit Exception Instantiation,Rejected
321,Date/Time Parsing and Formatting,Withdrawn
319,Python Synchronize/Asynchronize Block,Rejected
310,Reliable Acquisition/Release Pairs,Rejected
304,Controlling Generation of Bytecode Files,Withdrawn
314,Metadata for Python Software Packages 1.1,Superseded
303,Extend divmod() for Multiple Divisors,Rejected
313,Adding Roman Numeral Literals to Python,Rejected
315,Enhanced While Loop,Rejected
297,Support for System Upgrades,Rejected
306,How to Change Python’s Grammar,Withdrawn
298,The Locked Buffer Interface,Withdrawn
296,Adding a bytes Object Type,Withdrawn
299,Special __main__() function in modules,Rejected
295,Interpretation of multiline string constants,Rejected
294,Type Names in the types Module,Rejected
288,Generators Attributes and Exceptions,Withdrawn
284,Integer for-loops,Rejected
276,Simple Iterator for ints,Rejected
